DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.043875	4	3	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0439821	4	3	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.044125	4	4	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0442321	4	4	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.044375	4	4	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0444821	4	4	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.044625	4	4	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0447321	4	4	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.044875	4	4	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0449821	4	4	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.045125	4	5	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0452321	4	5	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.045375	4	5	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0454821	4	5	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.045625	4	5	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0457321	4	5	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.045875	4	5	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0459821	4	5	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.046125	4	6	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0462321	4	6	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.046375	4	6	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
